time,TractID,Symptomatic,Cummulative Symptomatic,Dead
0,62,0,0,0
1,62,0,0,0
2,62,0,0,0
3,62,0,0,0
4,62,0,0,0
5,62,0,0,0
6,62,0,0,0
7,62,0,0,0
8,62,0,0,0
9,62,0,0,0
10,62,0,0,0
11,62,0,0,0
12,62,0,0,0
13,62,0,0,0
14,62,0,0,0
15,62,0,0,0
16,62,0,0,0
17,62,0,0,0
18,62,0,0,0
19,62,0,0,0
20,62,0,0,0
21,62,0,0,0
22,62,0,0,0
23,62,0,0,0
24,62,0,0,0
25,62,0,0,0
26,62,0,0,0
27,62,0,0,0
28,62,0,0,0
29,62,0,0,0
30,62,0,0,0
31,62,0,0,0
32,62,0,0,0
33,62,0,0,0
34,62,0,0,0
35,62,0,0,0
36,62,0,0,0
37,62,0,0,0
38,62,0,0,0
39,62,0,0,0
40,62,0,0,0
41,62,0,0,0
42,62,0,0,0
43,62,0,0,0
44,62,0,0,0
45,62,0,0,0
46,62,0,0,0
47,62,0,0,0
48,62,0,0,0
49,62,0,0,0
50,62,0,0,0
51,62,0,0,0
52,62,0,0,0
53,62,0,0,0
54,62,0,0,0
55,62,0,0,0
56,62,0,0,0
57,62,0,0,0
58,62,0,0,0
59,62,0,0,0
60,62,0,0,0
61,62,0,0,0
62,62,0,0,0
63,62,0,0,0
64,62,0,0,0
65,62,0,0,0
66,62,0,0,0
67,62,0,0,0
68,62,1,1,0
69,62,1,1,0
70,62,2,2,0
71,62,2,2,0
72,62,2,2,0
73,62,3,3,0
74,62,3,3,0
75,62,7,7,0
76,62,9,9,0
77,62,15,15,0
78,62,18,18,0
79,62,23,23,0
80,62,25,25,0
81,62,31,32,1
82,62,35,39,3
83,62,39,46,6
84,62,56,64,6
85,62,78,87,7
86,62,96,107,9
87,62,119,133,11
88,62,136,153,14
89,62,171,190,15
90,62,202,227,19
91,62,234,275,31
92,62,287,337,38
93,62,352,409,43
94,62,409,481,56
95,62,519,612,72
96,62,608,720,87
97,62,750,890,108
98,62,891,1064,130
99,62,1042,1246,152
