time,TractID,Symptomatic,Cummulative Symptomatic,Dead
0,44,0,0,0
1,44,0,0,0
2,44,0,0,0
3,44,0,0,0
4,44,0,0,0
5,44,0,0,0
6,44,0,0,0
7,44,0,0,0
8,44,0,0,0
9,44,0,0,0
10,44,0,0,0
11,44,0,0,0
12,44,0,0,0
13,44,0,0,0
14,44,0,0,0
15,44,0,0,0
16,44,0,0,0
17,44,0,0,0
18,44,0,0,0
19,44,0,0,0
20,44,0,0,0
21,44,0,0,0
22,44,0,0,0
23,44,0,0,0
24,44,0,0,0
25,44,0,0,0
26,44,0,0,0
27,44,0,0,0
28,44,0,0,0
29,44,0,0,0
30,44,0,0,0
31,44,0,0,0
32,44,0,0,0
33,44,0,0,0
34,44,0,0,0
35,44,0,0,0
36,44,0,0,0
37,44,0,0,0
38,44,0,0,0
39,44,0,0,0
40,44,0,0,0
41,44,0,0,0
42,44,0,0,0
43,44,0,0,0
44,44,0,0,0
45,44,0,0,0
46,44,0,0,0
47,44,0,0,0
48,44,0,0,0
49,44,0,0,0
50,44,0,0,0
51,44,0,0,0
52,44,0,0,0
53,44,0,0,0
54,44,0,0,0
55,44,0,0,0
56,44,0,0,0
57,44,0,0,0
58,44,0,0,0
59,44,0,0,0
60,44,0,0,0
61,44,0,0,0
62,44,0,0,0
63,44,0,0,0
64,44,0,0,0
65,44,0,0,0
66,44,0,0,0
67,44,0,0,0
68,44,0,0,0
69,44,0,0,0
70,44,0,0,0
71,44,0,0,0
72,44,0,0,0
73,44,0,0,0
74,44,0,0,0
75,44,1,1,0
76,44,1,1,0
77,44,1,1,0
78,44,2,2,0
79,44,2,2,0
80,44,2,2,0
81,44,3,3,0
82,44,3,3,0
83,44,3,3,0
84,44,3,3,0
85,44,5,5,0
86,44,8,9,1
87,44,10,11,1
88,44,12,13,1
89,44,16,18,1
90,44,24,26,1
91,44,31,33,1
92,44,46,48,1
93,44,50,53,2
94,44,63,67,4
95,44,78,84,5
96,44,93,102,7
97,44,115,126,9
98,44,141,156,13
99,44,179,198,16
