time,TractID,Symptomatic,Cummulative Symptomatic,Dead
0,85,0,0,0
1,85,0,0,0
2,85,0,0,0
3,85,0,0,0
4,85,0,0,0
5,85,0,0,0
6,85,0,0,0
7,85,0,0,0
8,85,0,0,0
9,85,0,0,0
10,85,0,0,0
11,85,0,0,0
12,85,0,0,0
13,85,0,0,0
14,85,0,0,0
15,85,0,0,0
16,85,0,0,0
17,85,0,0,0
18,85,0,0,0
19,85,0,0,0
20,85,0,0,0
21,85,0,0,0
22,85,0,0,0
23,85,0,0,0
24,85,0,0,0
25,85,0,0,0
26,85,0,0,0
27,85,0,0,0
28,85,0,0,0
29,85,0,0,0
30,85,0,0,0
31,85,0,0,0
32,85,0,0,0
33,85,0,0,0
34,85,0,0,0
35,85,0,0,0
36,85,0,0,0
37,85,0,0,0
38,85,0,0,0
39,85,0,0,0
40,85,0,0,0
41,85,0,0,0
42,85,0,0,0
43,85,0,0,0
44,85,0,0,0
45,85,0,0,0
46,85,0,0,0
47,85,0,0,0
48,85,0,0,0
49,85,0,0,0
50,85,0,0,0
51,85,0,0,0
52,85,0,0,0
53,85,0,0,0
54,85,0,0,0
55,85,0,0,0
56,85,0,0,0
57,85,0,0,0
58,85,0,0,0
59,85,0,0,0
60,85,0,0,0
61,85,0,0,0
62,85,0,0,0
63,85,0,0,0
64,85,0,0,0
65,85,0,0,0
66,85,0,0,0
67,85,1,1,0
68,85,2,2,0
69,85,2,2,0
70,85,2,2,0
71,85,4,4,0
72,85,5,5,0
73,85,5,5,0
74,85,6,6,0
75,85,7,7,0
76,85,8,8,0
77,85,8,8,0
78,85,8,9,1
79,85,11,12,1
80,85,12,14,2
81,85,15,18,2
82,85,16,21,4
83,85,19,24,4
84,85,21,26,4
85,85,22,30,5
86,85,27,36,5
87,85,28,38,6
88,85,28,40,8
89,85,31,44,9
90,85,36,50,9
91,85,41,57,12
92,85,48,66,13
93,85,52,73,15
94,85,64,86,15
95,85,80,104,15
96,85,91,121,18
97,85,111,145,20
98,85,126,162,22
99,85,144,188,27
