time,TractID,Symptomatic,Cummulative Symptomatic,Dead
0,55,0,0,0
1,55,0,0,0
2,55,0,0,0
3,55,0,0,0
4,55,0,0,0
5,55,0,0,0
6,55,0,0,0
7,55,0,0,0
8,55,0,0,0
9,55,0,0,0
10,55,0,0,0
11,55,0,0,0
12,55,0,0,0
13,55,0,0,0
14,55,0,0,0
15,55,0,0,0
16,55,0,0,0
17,55,0,0,0
18,55,0,0,0
19,55,0,0,0
20,55,0,0,0
21,55,0,0,0
22,55,0,0,0
23,55,0,0,0
24,55,0,0,0
25,55,0,0,0
26,55,0,0,0
27,55,0,0,0
28,55,0,0,0
29,55,0,0,0
30,55,0,0,0
31,55,0,0,0
32,55,0,0,0
33,55,0,0,0
34,55,0,0,0
35,55,0,0,0
36,55,0,0,0
37,55,0,0,0
38,55,0,0,0
39,55,0,0,0
40,55,0,0,0
41,55,0,0,0
42,55,0,0,0
43,55,0,0,0
44,55,0,0,0
45,55,0,0,0
46,55,0,0,0
47,55,0,0,0
48,55,0,0,0
49,55,0,0,0
50,55,0,0,0
51,55,0,0,0
52,55,0,0,0
53,55,0,0,0
54,55,0,0,0
55,55,0,0,0
56,55,0,0,0
57,55,0,0,0
58,55,0,0,0
59,55,0,0,0
60,55,0,0,0
61,55,0,0,0
62,55,0,0,0
63,55,0,0,0
64,55,0,0,0
65,55,0,0,0
66,55,0,0,0
67,55,0,0,0
68,55,1,1,0
69,55,1,1,0
70,55,2,2,0
71,55,4,4,0
72,55,6,6,0
73,55,8,8,0
74,55,11,11,0
75,55,13,13,0
76,55,14,14,0
77,55,18,18,0
78,55,24,24,0
79,55,25,27,2
80,55,29,31,2
81,55,38,41,3
82,55,44,51,6
83,55,50,59,8
84,55,62,71,8
85,55,70,84,12
86,55,84,102,14
87,55,100,120,15
88,55,110,134,17
89,55,133,162,21
90,55,161,193,23
91,55,183,226,32
92,55,206,260,41
93,55,250,310,44
94,55,294,364,51
95,55,336,421,59
96,55,391,493,69
97,55,464,580,80
98,55,537,674,93
99,55,655,814,112
