time,TractID,Symptomatic,Cummulative Symptomatic,Dead
0,16,0,0,0
1,16,0,0,0
2,16,0,0,0
3,16,0,0,0
4,16,0,0,0
5,16,0,0,0
6,16,0,0,0
7,16,0,0,0
8,16,0,0,0
9,16,0,0,0
10,16,0,0,0
11,16,0,0,0
12,16,0,0,0
13,16,0,0,0
14,16,0,0,0
15,16,0,0,0
16,16,0,0,0
17,16,0,0,0
18,16,0,0,0
19,16,0,0,0
20,16,0,0,0
21,16,0,0,0
22,16,0,0,0
23,16,0,0,0
24,16,0,0,0
25,16,0,0,0
26,16,0,0,0
27,16,0,0,0
28,16,0,0,0
29,16,0,0,0
30,16,0,0,0
31,16,0,0,0
32,16,0,0,0
33,16,0,0,0
34,16,0,0,0
35,16,0,0,0
36,16,0,0,0
37,16,0,0,0
38,16,0,0,0
39,16,0,0,0
40,16,0,0,0
41,16,0,0,0
42,16,0,0,0
43,16,0,0,0
44,16,0,0,0
45,16,0,0,0
46,16,0,0,0
47,16,0,0,0
48,16,0,0,0
49,16,0,0,0
50,16,0,0,0
51,16,0,0,0
52,16,0,0,0
53,16,0,0,0
54,16,0,0,0
55,16,0,0,0
56,16,0,0,0
57,16,0,0,0
58,16,0,0,0
59,16,0,0,0
60,16,0,0,0
61,16,0,0,0
62,16,0,0,0
63,16,0,0,0
64,16,0,0,0
65,16,0,0,0
66,16,0,0,0
67,16,0,0,0
68,16,0,0,0
69,16,0,0,0
70,16,0,0,0
71,16,0,0,0
72,16,0,0,0
73,16,0,0,0
74,16,0,0,0
75,16,0,0,0
76,16,0,0,0
77,16,0,0,0
78,16,0,0,0
79,16,0,0,0
80,16,0,0,0
81,16,0,0,0
82,16,0,0,0
83,16,1,1,0
84,16,3,3,0
85,16,6,6,0
86,16,6,6,0
87,16,8,8,0
88,16,8,8,0
89,16,11,11,0
90,16,12,12,0
91,16,15,15,0
92,16,24,26,2
93,16,30,32,2
94,16,35,39,4
95,16,44,48,4
96,16,58,62,4
97,16,66,70,4
98,16,90,96,4
99,16,105,115,8
