time,TractID,Symptomatic,Cummulative Symptomatic,Dead
0,67,0,0,0
1,67,0,0,0
2,67,0,0,0
3,67,0,0,0
4,67,0,0,0
5,67,0,0,0
6,67,0,0,0
7,67,0,0,0
8,67,0,0,0
9,67,0,0,0
10,67,0,0,0
11,67,0,0,0
12,67,0,0,0
13,67,0,0,0
14,67,0,0,0
15,67,0,0,0
16,67,0,0,0
17,67,0,0,0
18,67,0,0,0
19,67,0,0,0
20,67,0,0,0
21,67,0,0,0
22,67,0,0,0
23,67,0,0,0
24,67,0,0,0
25,67,0,0,0
26,67,0,0,0
27,67,0,0,0
28,67,0,0,0
29,67,0,0,0
30,67,0,0,0
31,67,0,0,0
32,67,0,0,0
33,67,0,0,0
34,67,0,0,0
35,67,0,0,0
36,67,0,0,0
37,67,0,0,0
38,67,0,0,0
39,67,0,0,0
40,67,0,0,0
41,67,0,0,0
42,67,0,0,0
43,67,0,0,0
44,67,0,0,0
45,67,0,0,0
46,67,0,0,0
47,67,0,0,0
48,67,0,0,0
49,67,0,0,0
50,67,0,0,0
51,67,0,0,0
52,67,0,0,0
53,67,0,0,0
54,67,0,0,0
55,67,0,0,0
56,67,0,0,0
57,67,0,0,0
58,67,0,0,0
59,67,0,0,0
60,67,0,0,0
61,67,0,0,0
62,67,0,0,0
63,67,0,0,0
64,67,0,0,0
65,67,0,0,0
66,67,0,0,0
67,67,0,0,0
68,67,0,0,0
69,67,0,0,0
70,67,1,1,0
71,67,1,1,0
72,67,1,1,0
73,67,2,2,0
74,67,2,2,0
75,67,2,2,0
76,67,4,4,0
77,67,5,5,0
78,67,6,6,0
79,67,7,7,0
80,67,8,8,0
81,67,15,15,0
82,67,21,21,0
83,67,23,25,1
84,67,28,31,2
85,67,37,40,2
86,67,46,49,2
87,67,55,59,3
88,67,62,69,7
89,67,65,73,8
90,67,73,85,11
91,67,84,99,14
92,67,96,115,18
93,67,105,131,24
94,67,121,151,28
95,67,134,175,35
96,67,158,210,41
97,67,189,247,45
98,67,228,297,51
99,67,282,358,56
