time,TractID,Symptomatic,Cummulative Symptomatic,Dead
0,115,0,0,0
1,115,0,0,0
2,115,0,0,0
3,115,0,0,0
4,115,0,0,0
5,115,0,0,0
6,115,0,0,0
7,115,0,0,0
8,115,0,0,0
9,115,0,0,0
10,115,0,0,0
11,115,0,0,0
12,115,0,0,0
13,115,0,0,0
14,115,0,0,0
15,115,0,0,0
16,115,0,0,0
17,115,0,0,0
18,115,0,0,0
19,115,0,0,0
20,115,0,0,0
21,115,0,0,0
22,115,0,0,0
23,115,0,0,0
24,115,0,0,0
25,115,0,0,0
26,115,0,0,0
27,115,0,0,0
28,115,0,0,0
29,115,0,0,0
30,115,0,0,0
31,115,0,0,0
32,115,0,0,0
33,115,0,0,0
34,115,0,0,0
35,115,0,0,0
36,115,0,0,0
37,115,0,0,0
38,115,0,0,0
39,115,0,0,0
40,115,0,0,0
41,115,0,0,0
42,115,0,0,0
43,115,0,0,0
44,115,0,0,0
45,115,0,0,0
46,115,0,0,0
47,115,0,0,0
48,115,0,0,0
49,115,0,0,0
50,115,0,0,0
51,115,0,0,0
52,115,0,0,0
53,115,0,0,0
54,115,0,0,0
55,115,0,0,0
56,115,0,0,0
57,115,1,1,0
58,115,1,1,0
59,115,1,1,0
60,115,1,1,0
61,115,1,1,0
62,115,1,1,0
63,115,1,1,0
64,115,2,2,0
65,115,5,5,0
66,115,6,6,0
67,115,7,7,0
68,115,7,7,0
69,115,8,8,0
70,115,10,10,0
71,115,12,13,0
72,115,12,15,2
73,115,17,20,2
74,115,19,23,3
75,115,23,28,4
76,115,27,32,4
77,115,31,36,4
78,115,35,41,5
79,115,34,42,6
80,115,39,50,8
81,115,48,61,9
82,115,56,70,10
83,115,68,83,11
84,115,80,97,12
85,115,98,119,14
86,115,117,141,15
87,115,129,160,18
88,115,148,184,20
89,115,188,232,25
90,115,225,278,32
91,115,259,320,38
92,115,315,388,46
93,115,373,459,58
94,115,435,539,72
95,115,498,619,81
96,115,583,727,97
97,115,650,824,121
98,115,730,928,132
99,115,812,1041,153
