time,TractID,Symptomatic,Cummulative Symptomatic,Dead
0,37,0,0,0
1,37,0,0,0
2,37,0,0,0
3,37,0,0,0
4,37,0,0,0
5,37,0,0,0
6,37,0,0,0
7,37,0,0,0
8,37,0,0,0
9,37,0,0,0
10,37,0,0,0
11,37,0,0,0
12,37,0,0,0
13,37,0,0,0
14,37,0,0,0
15,37,0,0,0
16,37,0,0,0
17,37,0,0,0
18,37,0,0,0
19,37,0,0,0
20,37,0,0,0
21,37,0,0,0
22,37,0,0,0
23,37,0,0,0
24,37,0,0,0
25,37,0,0,0
26,37,0,0,0
27,37,0,0,0
28,37,0,0,0
29,37,0,0,0
30,37,0,0,0
31,37,0,0,0
32,37,0,0,0
33,37,0,0,0
34,37,0,0,0
35,37,0,0,0
36,37,0,0,0
37,37,0,0,0
38,37,0,0,0
39,37,0,0,0
40,37,0,0,0
41,37,0,0,0
42,37,0,0,0
43,37,0,0,0
44,37,0,0,0
45,37,0,0,0
46,37,0,0,0
47,37,0,0,0
48,37,0,0,0
49,37,0,0,0
50,37,0,0,0
51,37,0,0,0
52,37,0,0,0
53,37,0,0,0
54,37,0,0,0
55,37,0,0,0
56,37,0,0,0
57,37,0,0,0
58,37,0,0,0
59,37,0,0,0
60,37,0,0,0
61,37,0,0,0
62,37,0,0,0
63,37,0,0,0
64,37,0,0,0
65,37,0,0,0
66,37,0,0,0
67,37,0,0,0
68,37,0,0,0
69,37,0,0,0
70,37,0,0,0
71,37,0,0,0
72,37,0,0,0
73,37,1,1,0
74,37,1,1,0
75,37,1,1,0
76,37,0,1,1
77,37,0,1,1
78,37,3,4,1
79,37,6,7,1
80,37,8,9,1
81,37,9,10,1
82,37,10,11,1
83,37,11,12,1
84,37,15,16,1
85,37,15,18,3
86,37,19,22,3
87,37,32,37,5
88,37,39,44,5
89,37,52,58,5
90,37,61,68,6
91,37,73,82,8
92,37,86,96,8
93,37,105,117,10
94,37,130,149,15
95,37,158,182,19
96,37,188,218,23
97,37,224,255,24
98,37,278,318,32
99,37,328,380,42
