time,TractID,Symptomatic,Cummulative Symptomatic,Dead
0,69,0,0,0
1,69,0,0,0
2,69,0,0,0
3,69,0,0,0
4,69,0,0,0
5,69,0,0,0
6,69,0,0,0
7,69,0,0,0
8,69,0,0,0
9,69,0,0,0
10,69,0,0,0
11,69,0,0,0
12,69,0,0,0
13,69,0,0,0
14,69,0,0,0
15,69,0,0,0
16,69,0,0,0
17,69,0,0,0
18,69,0,0,0
19,69,0,0,0
20,69,0,0,0
21,69,0,0,0
22,69,0,0,0
23,69,0,0,0
24,69,0,0,0
25,69,0,0,0
26,69,0,0,0
27,69,0,0,0
28,69,0,0,0
29,69,0,0,0
30,69,0,0,0
31,69,0,0,0
32,69,0,0,0
33,69,0,0,0
34,69,0,0,0
35,69,0,0,0
36,69,0,0,0
37,69,0,0,0
38,69,0,0,0
39,69,0,0,0
40,69,0,0,0
41,69,0,0,0
42,69,0,0,0
43,69,0,0,0
44,69,0,0,0
45,69,0,0,0
46,69,0,0,0
47,69,0,0,0
48,69,0,0,0
49,69,0,0,0
50,69,0,0,0
51,69,0,0,0
52,69,0,0,0
53,69,0,0,0
54,69,0,0,0
55,69,0,0,0
56,69,0,0,0
57,69,0,0,0
58,69,1,1,0
59,69,1,1,0
60,69,1,1,0
61,69,1,1,0
62,69,1,1,0
63,69,1,1,0
64,69,2,2,0
65,69,2,2,0
66,69,4,4,0
67,69,5,5,0
68,69,5,5,0
69,69,9,9,0
70,69,10,10,0
71,69,10,11,1
72,69,9,11,1
73,69,12,15,2
74,69,16,19,2
75,69,22,26,3
76,69,27,31,3
77,69,35,39,3
78,69,42,46,3
79,69,48,53,4
80,69,52,61,7
81,69,60,73,11
82,69,73,88,13
83,69,77,97,14
84,69,95,120,19
85,69,106,136,24
86,69,129,162,27
87,69,147,184,29
88,69,168,212,33
89,69,193,247,41
90,69,235,293,44
91,69,269,339,50
92,69,322,399,53
93,69,388,476,60
94,69,455,562,72
95,69,533,666,86
96,69,626,783,103
97,69,766,942,117
98,69,886,1095,134
99,69,1038,1286,163
