time,TractID,Symptomatic,Cummulative Symptomatic,Dead
0,76,0,0,0
1,76,0,0,0
2,76,0,0,0
3,76,0,0,0
4,76,0,0,0
5,76,0,0,0
6,76,0,0,0
7,76,0,0,0
8,76,0,0,0
9,76,0,0,0
10,76,0,0,0
11,76,0,0,0
12,76,0,0,0
13,76,0,0,0
14,76,0,0,0
15,76,0,0,0
16,76,0,0,0
17,76,0,0,0
18,76,0,0,0
19,76,0,0,0
20,76,0,0,0
21,76,0,0,0
22,76,0,0,0
23,76,0,0,0
24,76,0,0,0
25,76,0,0,0
26,76,0,0,0
27,76,0,0,0
28,76,0,0,0
29,76,0,0,0
30,76,0,0,0
31,76,0,0,0
32,76,0,0,0
33,76,0,0,0
34,76,0,0,0
35,76,0,0,0
36,76,0,0,0
37,76,0,0,0
38,76,0,0,0
39,76,0,0,0
40,76,0,0,0
41,76,0,0,0
42,76,0,0,0
43,76,0,0,0
44,76,0,0,0
45,76,0,0,0
46,76,0,0,0
47,76,0,0,0
48,76,0,0,0
49,76,0,0,0
50,76,0,0,0
51,76,0,0,0
52,76,0,0,0
53,76,0,0,0
54,76,0,0,0
55,76,0,0,0
56,76,0,0,0
57,76,0,0,0
58,76,0,0,0
59,76,0,0,0
60,76,1,1,0
61,76,1,1,0
62,76,1,1,0
63,76,1,1,0
64,76,1,1,0
65,76,1,1,0
66,76,0,1,1
67,76,1,2,1
68,76,1,2,1
69,76,3,4,1
70,76,4,5,1
71,76,4,5,1
72,76,4,5,1
73,76,4,5,1
74,76,4,6,2
75,76,12,14,2
76,76,12,15,3
77,76,14,17,3
78,76,14,17,3
79,76,17,20,3
80,76,20,23,3
81,76,25,28,3
82,76,26,30,4
83,76,33,38,4
84,76,35,44,7
85,76,47,57,8
86,76,52,62,8
87,76,62,73,9
88,76,84,97,11
89,76,84,107,14
90,76,103,128,16
91,76,135,164,19
92,76,167,204,27
93,76,206,249,30
94,76,254,304,37
95,76,315,374,46
96,76,381,455,59
97,76,479,563,64
98,76,583,680,74
99,76,690,808,88
