time,TractID,Symptomatic,Cummulative Symptomatic,Dead
0,61,0,0,0
1,61,0,0,0
2,61,0,0,0
3,61,0,0,0
4,61,0,0,0
5,61,0,0,0
6,61,0,0,0
7,61,0,0,0
8,61,0,0,0
9,61,0,0,0
10,61,0,0,0
11,61,0,0,0
12,61,0,0,0
13,61,0,0,0
14,61,0,0,0
15,61,0,0,0
16,61,0,0,0
17,61,0,0,0
18,61,0,0,0
19,61,0,0,0
20,61,0,0,0
21,61,0,0,0
22,61,0,0,0
23,61,0,0,0
24,61,0,0,0
25,61,0,0,0
26,61,0,0,0
27,61,0,0,0
28,61,0,0,0
29,61,0,0,0
30,61,0,0,0
31,61,0,0,0
32,61,0,0,0
33,61,0,0,0
34,61,0,0,0
35,61,0,0,0
36,61,0,0,0
37,61,0,0,0
38,61,0,0,0
39,61,0,0,0
40,61,0,0,0
41,61,0,0,0
42,61,0,0,0
43,61,0,0,0
44,61,0,0,0
45,61,0,0,0
46,61,0,0,0
47,61,0,0,0
48,61,0,0,0
49,61,0,0,0
50,61,0,0,0
51,61,0,0,0
52,61,0,0,0
53,61,0,0,0
54,61,0,0,0
55,61,0,0,0
56,61,0,0,0
57,61,0,0,0
58,61,0,0,0
59,61,0,0,0
60,61,0,0,0
61,61,0,0,0
62,61,0,0,0
63,61,0,0,0
64,61,0,0,0
65,61,1,1,0
66,61,1,1,0
67,61,1,1,0
68,61,1,1,0
69,61,1,1,0
70,61,1,1,0
71,61,1,1,0
72,61,1,1,0
73,61,1,1,0
74,61,1,1,0
75,61,2,2,0
76,61,3,3,0
77,61,3,4,0
78,61,3,4,0
79,61,3,4,0
80,61,4,5,0
81,61,7,8,0
82,61,7,9,1
83,61,9,11,1
84,61,13,15,1
85,61,18,20,1
86,61,19,21,1
87,61,25,29,3
88,61,26,31,4
89,61,28,33,4
90,61,38,45,5
91,61,48,57,7
92,61,57,67,8
93,61,68,79,9
94,61,86,99,10
95,61,107,124,13
96,61,133,152,15
97,61,159,183,19
98,61,197,227,24
99,61,250,286,26
