time,TractID,Symptomatic,Cummulative Symptomatic,Dead
0,113,0,0,0
1,113,0,0,0
2,113,0,0,0
3,113,0,0,0
4,113,0,0,0
5,113,0,0,0
6,113,0,0,0
7,113,0,0,0
8,113,0,0,0
9,113,0,0,0
10,113,0,0,0
11,113,0,0,0
12,113,0,0,0
13,113,0,0,0
14,113,0,0,0
15,113,0,0,0
16,113,0,0,0
17,113,0,0,0
18,113,0,0,0
19,113,0,0,0
20,113,0,0,0
21,113,0,0,0
22,113,0,0,0
23,113,0,0,0
24,113,0,0,0
25,113,0,0,0
26,113,0,0,0
27,113,0,0,0
28,113,0,0,0
29,113,0,0,0
30,113,0,0,0
31,113,0,0,0
32,113,0,0,0
33,113,0,0,0
34,113,0,0,0
35,113,0,0,0
36,113,0,0,0
37,113,0,0,0
38,113,0,0,0
39,113,0,0,0
40,113,0,0,0
41,113,0,0,0
42,113,0,0,0
43,113,0,0,0
44,113,0,0,0
45,113,0,0,0
46,113,0,0,0
47,113,0,0,0
48,113,0,0,0
49,113,0,0,0
50,113,0,0,0
51,113,0,0,0
52,113,0,0,0
53,113,0,0,0
54,113,0,0,0
55,113,0,0,0
56,113,0,0,0
57,113,0,0,0
58,113,0,0,0
59,113,2,2,0
60,113,2,2,0
61,113,3,3,0
62,113,4,4,0
63,113,4,4,0
64,113,6,6,0
65,113,6,6,0
66,113,7,7,0
67,113,8,8,0
68,113,8,10,2
69,113,10,12,2
70,113,13,15,2
71,113,14,17,3
72,113,15,18,3
73,113,21,25,3
74,113,26,31,4
75,113,28,34,4
76,113,36,43,5
77,113,42,50,6
78,113,48,58,7
79,113,58,69,8
80,113,80,92,8
81,113,94,113,14
82,113,106,129,17
83,113,116,144,21
84,113,138,171,24
85,113,169,206,27
86,113,193,239,35
87,113,224,285,45
88,113,258,326,50
89,113,297,374,57
90,113,338,432,68
91,113,383,494,80
92,113,438,569,97
93,113,508,664,117
94,113,574,761,136
95,113,624,846,155
96,113,694,946,175
97,113,760,1044,202
98,113,835,1159,230
99,113,872,1255,267
