time,TractID,Symptomatic,Cummulative Symptomatic,Dead
0,120,0,0,0
1,120,0,0,0
2,120,0,0,0
3,120,0,0,0
4,120,0,0,0
5,120,0,0,0
6,120,0,0,0
7,120,0,0,0
8,120,0,0,0
9,120,0,0,0
10,120,0,0,0
11,120,0,0,0
12,120,0,0,0
13,120,0,0,0
14,120,0,0,0
15,120,0,0,0
16,120,0,0,0
17,120,0,0,0
18,120,0,0,0
19,120,0,0,0
20,120,0,0,0
21,120,0,0,0
22,120,0,0,0
23,120,0,0,0
24,120,0,0,0
25,120,0,0,0
26,120,0,0,0
27,120,0,0,0
28,120,0,0,0
29,120,0,0,0
30,120,0,0,0
31,120,0,0,0
32,120,0,0,0
33,120,0,0,0
34,120,0,0,0
35,120,0,0,0
36,120,0,0,0
37,120,0,0,0
38,120,0,0,0
39,120,0,0,0
40,120,0,0,0
41,120,0,0,0
42,120,0,0,0
43,120,0,0,0
44,120,0,0,0
45,120,0,0,0
46,120,0,0,0
47,120,0,0,0
48,120,0,0,0
49,120,0,0,0
50,120,0,0,0
51,120,0,0,0
52,120,0,0,0
53,120,0,0,0
54,120,0,0,0
55,120,0,0,0
56,120,0,0,0
57,120,0,0,0
58,120,0,0,0
59,120,0,0,0
60,120,0,0,0
61,120,0,0,0
62,120,0,0,0
63,120,0,0,0
64,120,0,0,0
65,120,0,0,0
66,120,0,0,0
67,120,1,1,0
68,120,1,1,0
69,120,1,1,0
70,120,1,1,0
71,120,1,1,0
72,120,1,1,0
73,120,1,1,0
74,120,1,1,0
75,120,3,3,0
76,120,4,4,0
77,120,6,6,0
78,120,8,8,0
79,120,10,10,0
80,120,13,13,0
81,120,14,15,0
82,120,18,19,0
83,120,20,21,0
84,120,27,29,1
85,120,37,39,1
86,120,46,49,2
87,120,55,60,3
88,120,69,75,4
89,120,74,85,7
90,120,96,110,9
91,120,110,132,16
92,120,133,160,20
93,120,169,198,21
94,120,201,235,24
95,120,237,278,30
96,120,268,318,37
97,120,315,374,46
98,120,375,449,58
99,120,457,546,67
